id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
26491,VEBD,large_airport,Bagdogra Airport,26.6812,88.328598,412,AS,IN,IN-WB,Siliguri,yes,VEBD,IXB,,http://aai.aero/allAirports/bagdogra_generalinfo.jsp,https://en.wikipedia.org/wiki/Bagdogra_Airport,Bagdogra Air Force Station
26494,VEBS,large_airport,Biju Patnaik International Airport,20.251021,85.814747,138,AS,IN,IN-OR,Bhubaneswar,yes,VEBS,BBI,,http://aai.aero/allAirports/bhubaneshwar_generalinfo.jsp,https://en.wikipedia.org/wiki/Biju_Patnaik_Airport,
26504,VEIM,large_airport,Bir Tikendrajit International Airport,24.76,93.896698,2540,AS,IN,IN-MN,Imphal,yes,VEIM,IMF,,http://www.aai.aero/allAirports/imphal_gen.jsp,https://en.wikipedia.org/wiki/Imphal_Airport,Imphal
26610,VOCL,large_airport,Calicut International Airport,11.135996,75.955152,342,AS,IN,IN-KL,Calicut,yes,VOCL,CCJ,,,https://en.wikipedia.org/wiki/Calicut_International_Airport,
26570,VILK,large_airport,Chaudhary Charan Singh International Airport,26.760599,80.889297,410,AS,IN,IN-UP,Lucknow,yes,VILK,LKO,,http://aai.aero/allAirports/lucknow_generalinfo.jsp,https://en.wikipedia.org/wiki/Amausi_Airport,Amausi International Airport
26618,VOMM,large_airport,Chennai International Airport,12.990005,80.169296,52,AS,IN,IN-TN,Chennai,yes,VOMM,MAA,,,https://en.wikipedia.org/wiki/Chennai_International_Airport,Madras
26434,VABB,large_airport,Chhatrapati Shivaji Maharaj International Airport,19.088699,72.867897,39,AS,IN,IN-MM,Mumbai,yes,VABB,BOM,,http://www.csia.in/,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_International_Airport,"Bombay, Sahar International Airport"
26609,VOCI,large_airport,Cochin International Airport,10.151047,76.400838,30,AS,IN,IN-KL,Kochi,yes,VOCI,COK,,http://www.cial.aero/,https://en.wikipedia.org/wiki/Cochin_International_Airport,Cochin
26607,VOCB,large_airport,Coimbatore International Airport,11.03,77.043404,1324,AS,IN,IN-TN,Coimbatore,yes,VOCB,CJB,,http://www.airportsindia.org.in/allAirports/coimbatore_generalinfo.jsp,https://en.wikipedia.org/wiki/Coimbatore_Airport,
26446,VAID,large_airport,Devi Ahilya Bai Holkar International Airport,22.721404,75.80051,1850,AS,IN,IN-MP,Indore,yes,VAID,IDR,,http://aai.aero/allAirports/indore_technicalinfo.jsp,https://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,
26453,VANP,large_airport,Dr. Babasaheb Ambedkar International Airport,21.092199,79.047203,1033,AS,IN,IN-MM,Nagpur,yes,VANP,NAG,,http://aai.aero/allAirports/nagpur1_generalinfo.jsp,https://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport,"Sonegaon Airport, Sonegaon Air Force Station"
26444,VOGO,large_airport,Goa Dabolim International Airport,15.380062,73.833328,150,AS,IN,IN-GA,Vasco da Gama,yes,VOGO,GOI,,,https://en.wikipedia.org/wiki/Dabolim_Airport,"Goa Airport, Dabolim Navy Airbase, दाबोळी विमानतळ"
26560,VIHX,large_airport,Halwara International Airport,30.748501,75.629799,790,AS,IN,IN-PB,Halwara,yes,VIHX,HWR,,,https://en.wikipedia.org/wiki/Ludhiana_Halwara_International_Airport,"Ludhiana International Airport, Halwara Air Force Station"
26555,VIDP,large_airport,Indira Gandhi International Airport,28.55563,77.09519,777,AS,IN,IN-DL,New Delhi,yes,VIDP,DEL,,https://www.newdelhiairport.in/,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,Palam Air Force Station
26563,VIJP,large_airport,Jaipur International Airport,26.8242,75.812202,1263,AS,IN,IN-RJ,Jaipur,yes,VIJP,JAI,,https://www.jaipurairport.com/,https://en.wikipedia.org/wiki/Jaipur_International_Airport,
329504,VOKN,large_airport,Kannur International Airport,11.916343,75.544979,330,AS,IN,IN-KL,Kannur,yes,VOKN,CNN,,,https://en.wikipedia.org/wiki/Kannur_International_Airport,
