source_iata,destination_iata,distance_km,duration_hours
BLR,DXB,2700,4.35
DXB,FRA,4830,7.31
FRA,JFK,6200,9.21
DEL,SIN,4150,6.36
SIN,SYD,6300,9.31
BOM,LHR,7200,10.6
LHR,YYZ,5700,8.51
AMS,JFK,5850,8.72
HKG,NRT,2900,4.63
DOH,FRA,4600,6.99
ICN,LAX,9600,13.93
BLR,SIN,3180,5.02
DEL,FRA,6100,9.07
DEL,DXB,2200,3.66
BOM,DXB,1900,3.24
DXB,SIN,5900,8.79
SIN,HKG,2600,4.21
FRA,LHR,650,1.5
LHR,JFK,5550,8.31
JFK,LAX,4000,6.16
DXB,HKG,5900,8.79
DOH,LHR,5200,7.82
IST,FRA,1900,3.24
CDG,JFK,5800,8.66
AMS,DXB,5200,7.82
BLR,LHR,8050,11.78
DEL,LHR,6700,9.9
BOM,JFK,12500,17.96
SYD,SIN,6300,9.31
HKG,SIN,2600,4.21
NRT,LAX,8800,12.82
ICN,NRT,1300,2.41
ORD,LAX,2800,4.49
FRA,DXB,4600,6.99
LHR,DXB,5500,8.24
SIN,DXB,5900,8.79
DEL,AMS,6400,9.49
BOM,FRA,6600,9.77
BLR,DOH,3000,4.77
DEL,PVG,4292,6.71
PVG,DEL,4292,6.71
DOH,SIN,6200,9.21
IST,DXB,2700,4.35
CDG,DXB,5200,7.82
YYZ,LHR,5700,8.51
LAX,NRT,8800,12.82
JFK,LHR,5550,8.31
AMS,FRA,370,1.11
FRA,AMS,370,1.11
DXB,DOH,380,1.13
DOH,DXB,380,1.13
BLR,FRA,7400,10.88
DEL,DOH,2600,4.21
BOM,SIN,3900,6.02
SIN,ICN,4600,6.99
ICN,SIN,4600,6.99
HKG,ICN,2100,3.52
ICN,HKG,2100,3.52
FRA,CDG,450,1.23
CDG,FRA,450,1.23
LHR,AMS,370,1.11
AMS,LHR,370,1.11
SYD,HKG,7400,10.88
HKG,SYD,7400,10.88
IST,LHR,2500,4.07
LHR,IST,2500,4.07
ORD,JFK,1200,2.27
JFK,ORD,1200,2.27
LAX,ICN,9600,13.93
DEL,SYD,10400,15.04
BOM,LHR,7200,10.6
LHR,YYZ,5700,8.51
